gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dvt,ebit,lct,lt,ni,sale,seq,costat,prcc_c
001004,20210531,2020,INDL,C,D,STD,AIR,USD,937.0000,1539.7000,974.4000,35.3750,0.1000,65.5000,336.8000,565.3000,35.8000,1651.4000,974.4000,A,36.2200
001045,20211231,2021,INDL,C,D,STD,AAL,USD,17336.0000,66467.0000,-7340.0000,647.7280,0.0000,-5514.0000,19006.0000,73807.0000,-1993.0000,29882.0000,-7340.0000,A,17.9600
001075,20211231,2021,INDL,C,D,STD,PNW,USD,1551.1000,22003.2220,5906.2000,112.9270,379.1080,805.3100,1756.8690,15981.7620,618.7200,3803.8350,5906.2000,A,70.5900
001078,20211231,2021,INDL,C,D,STD,ABT,USD,24239.0000,75196.0000,35802.0000,1764.0820,3235.0000,8966.0000,13105.0000,39172.0000,7071.0000,43075.0000,35802.0000,A,140.7400
001161,20211231,2021,INDL,C,D,STD,AMD,USD,8583.0000,12419.0000,7497.0000,1207.0000,0.0000,3678.0000,4240.0000,4922.0000,3162.0000,16434.0000,7497.0000,A,143.9000
001209,20210930,2021,INDL,C,D,STD,APD,USD,8376.3000,26859.2000,13539.7000,221.3970,1292.6000,2215.0000,2799.1000,12771.2000,2099.1000,10323.0000,13539.7000,A,304.2600
001230,20211231,2021,INDL,C,D,STD,ALK,USD,3920.0000,13951.0000,3801.0000,125.9060,0.0000,-240.0000,3991.0000,10150.0000,478.0000,6176.0000,3801.0000,A,52.1000
001234,20211231,2021,INDL,C,D,STD,ATRI,USD,136.5710,267.2640,244.2960,1.8010,13.4310,36.0420,13.3460,,33.0550,165.0090,244.2960,A,704.9000
001254,20211231,2021,INDL,C,D,STD,MATX,USD,704.5000,3693.1000,1667.4000,41.0000,45.9000,1131.2000,612.4000,2025.7000,927.4000,3925.3000,1667.4000,A,90.0300
001257,20211231,2021,INDL,C,D,STD,ALX,USD,,1391.9650,252.5890,5.1070,92.2200,76.1970,,1139.3760,132.9300,206.1480,252.5890,A,260.3000
001300,20211231,2021,INDL,C,D,STD,HON,USD,25372.0000,64470.0000,18569.0000,684.8000,2620.0000,6769.0000,19508.0000,45221.0000,5542.0000,34392.0000,18569.0000,A,208.5100
001327,20210930,2021,INDL,C,D,STD,SWKS,USD,2865.4000,8590.7000,5297.1000,165.3000,340.6000,1692.7000,658.5000,3293.6000,1498.3000,5109.1000,5297.1000,A,155.1400
001380,20211231,2021,INDL,C,D,STD,HES,USD,4346.0000,20515.0000,6300.0000,309.7450,310.0000,2008.0000,3064.0000,13489.0000,559.0000,7473.0000,6300.0000,A,74.0300
001410,20211031,2021,INDL,C,D,STD,ABM,USD,1401.1000,4436.2000,1609.2000,67.3020,51.0000,406.4000,1285.8000,2827.0000,126.3000,6228.6000,1609.2000,A,40.8500
001414,20211231,2021,INDL,C,D,STD,PRI,USD,,16123.2230,2082.5120,39.3680,74.6370,639.6640,,14033.4400,373.3570,2709.7320,2082.5120,A,153.2700
001439,20211231,2021,INDL,C,D,STD,ECOL,USD,364.2180,1805.3980,624.3240,31.2700,0.0000,36.9020,186.9340,1181.0740,5.3370,988.0010,624.3240,A,31.9400
001440,20211231,2021,INDL,C,D,STD,AEP,USD,7809.2000,87668.7000,22433.2000,504.2120,1507.7000,3372.3000,12426.7000,64945.2000,2488.1000,16792.0000,22476.5000,A,88.9700
001447,20211231,2021,INDL,C,D,STD,AXP,USD,,188548.0000,22177.0000,761.0000,1430.0000,10121.0000,,166371.0000,8060.0000,43663.0000,22177.0000,A,163.6000
001449,20211231,2021,INDL,C,D,STD,AFL,USD,,157542.0000,33253.0000,652.1320,928.0000,4565.0000,,124289.0000,4325.0000,21037.0000,33253.0000,A,58.3900
001487,20211231,2021,INDL,C,D,STD,AIG,USD,,596112.0000,65471.0000,818.6870,1112.0000,11322.0000,,527200.0000,9388.0000,52046.0000,65956.0000,A,56.8600
001526,20211231,2021,INDL,C,D,STD,ANAT,USD,,31320.3210,6994.3680,26.8870,88.1900,695.8160,,24318.2620,699.3250,4203.1140,6994.3680,A,188.8400
001562,20210430,2020,INDL,C,D,STD,AMSWA,USD,136.6230,177.1570,122.3910,32.8630,14.3630,4.3610,50.6640,54.7660,8.0890,111.4080,122.3910,A,17.1700
001585,20211231,2021,INDL,C,D,STD,AVD,USD,342.0000,694.1600,372.7380,30.8870,2.3840,33.6840,223.0610,321.4220,18.5870,556.8720,372.7380,A,16.3900
001598,20211231,2021,INDL,C,D,STD,AME,USD,2128.7650,11898.1870,6871.8840,231.6620,184.5950,1308.6700,1563.3140,5026.3030,990.0530,5546.5140,6871.8840,A,147.0400
001602,20211231,2021,INDL,C,D,STD,AMGN,USD,19385.0000,61165.0000,6700.0000,558.3000,4098.0000,9274.0000,12184.0000,54465.0000,5893.0000,25979.0000,6700.0000,A,224.9700
001632,20211031,2021,INDL,C,D,STD,ADI,USD,5378.3170,52322.0710,37992.5420,525.3310,1109.3440,1889.5160,2770.3120,14329.5290,1390.4220,7318.2860,37992.5420,A,175.7700
001659,20211231,2021,INDL,C,D,STD,ANDE,USD,3372.3280,4569.2190,1072.4250,33.8590,23.4950,168.9450,2463.9290,3261.5150,103.9860,12612.0500,1072.4250,A,38.7100
001661,20211231,2021,INDL,C,D,STD,NBR,USD,1517.8090,5525.3640,590.6560,8.2050,3.6530,-219.7310,525.2280,4131.1430,-569.2720,2017.5480,590.6560,A,81.0900
001678,20211231,2021,INDL,C,D,STD,APA,USD,2380.0000,13303.0000,-1595.0000,346.9310,87.0000,2738.0000,2117.0000,13308.0000,973.0000,8079.0000,-1595.0000,A,26.8900
001686,20210228,2020,INDL,C,D,STD,APOG,USD,350.6740,1015.0990,492.7450,25.7140,19.6010,74.6850,217.5520,522.3540,15.4360,1230.7740,492.7450,A,31.6800
001690,20210930,2021,INDL,C,D,STD,AAPL,USD,134836.0000,351002.0000,63090.0000,16426.7860,14431.0000,108949.0000,125481.0000,287912.0000,94680.0000,365817.0000,63090.0000,A,177.5700
001704,20211031,2021,INDL,C,D,STD,AMAT,USD,16107.0000,25825.0000,12247.0000,892.0000,851.0000,7269.0000,6344.0000,13578.0000,5888.0000,23063.0000,12247.0000,A,157.3600
001722,20211231,2021,INDL,C,D,STD,ADM,USD,31909.0000,56136.0000,22477.0000,560.0000,834.0000,3038.0000,21948.0000,33369.0000,2709.0000,85249.0000,22477.0000,A,67.5900
001743,20211231,2021,INDL,C,D,STD,ARCB,USD,776.0530,2112.6760,929.0670,24.8670,8.1390,271.3560,702.6940,1183.6090,213.5210,3980.0670,929.0670,A,119.8500
001773,20211231,2021,INDL,C,D,STD,ARW,USD,15893.3230,19535.5400,5282.2950,68.0660,0.0000,1572.2150,11326.0890,14194.6940,1108.1970,34477.0180,5282.2950,A,134.2700
001794,20210930,2021,INDL,C,D,STD,ASH,USD,1717.0000,6612.0000,2752.0000,57.0000,71.0000,197.0000,934.0000,3860.0000,220.0000,2111.0000,2752.0000,A,107.6600
001823,20211231,2021,INDL,C,D,STD,ATRO,USD,339.8610,609.1380,256.6040,31.4780,0.0000,-37.6260,118.6130,352.5340,-25.5780,444.9080,256.6040,A,12.0000
001864,20210131,2020,INDL,C,D,STD,REX,USD,258.7500,479.3450,384.7830,5.9920,0.0000,-3.8000,30.7370,42.1620,3.0010,372.8460,384.7830,A,73.4700
001878,20210131,2020,INDL,C,D,STD,ADSK,USD,2699.2000,7279.8000,965.5000,219.6000,0.0000,650.6000,3254.7000,6314.3000,1208.2000,3790.4000,965.5000,A,305.3400
001891,20210630,2021,INDL,C,D,STD,ADP,USD,40741.8000,48772.5000,5670.1000,423.7000,1583.7000,3293.9000,38094.8000,43102.4000,2598.5000,15005.4000,5670.1000,A,246.5800
001913,20211231,2021,INDL,C,D,STD,AVY,USD,2734.6000,7971.6000,1924.4000,82.6060,220.6000,1064.3000,2547.9000,6047.2000,740.1000,8408.3000,1924.4000,A,216.5700
001919,20210630,2021,INDL,C,D,STD,AVT,USD,7163.4210,8925.4220,4084.1840,99.6010,84.3090,365.7990,3055.2380,4841.2380,193.1140,19534.6790,4084.1840,A,41.2300
001926,20210228,2020,INDL,C,D,STD,AZZ,USD,303.4920,996.4420,623.2920,25.1080,17.6420,81.6130,113.8500,373.1500,39.6140,838.9170,623.2920,A,47.4400
001968,20211231,2021,INDL,C,D,STD,BMI,USD,261.3600,530.8180,403.0700,29.2500,22.1990,78.7230,82.1460,,60.8840,505.1980,403.0700,A,106.5600
001979,20211231,2021,INDL,C,D,STD,BCPC,USD,322.2320,1199.3250,877.0150,32.2870,20.7060,129.6250,143.8020,322.3100,96.1040,799.0230,877.0150,A,168.6000
001988,20211231,2021,INDL,C,D,STD,BLL,USD,5223.0000,19714.0000,3627.0000,320.8440,227.0000,1433.0000,5953.0000,16029.0000,878.0000,13811.0000,3627.0000,A,96.2700
002002,20211231,2021,INDL,C,D,STD,BPOP,USD,,75097.8990,5947.2540,79.8510,143.7020,1902.8190,,69128.5020,934.8890,2764.7650,5969.3970,A,82.0400
002005,20211231,2021,INDL,C,D,STD,BOH,USD,,22784.9410,1431.6110,40.2530,113.6080,407.8190,,21173.3300,253.3720,698.0690,1611.6110,A,83.7600
002019,20211231,2021,INDL,C,D,STD,BK,USD,,444438.0000,38196.0000,804.1450,1333.0000,7460.0000,,401047.0000,3759.0000,16158.0000,43034.0000,A,58.0800
002049,20211231,2021,INDL,C,D,STD,B,USD,680.2090,2576.8200,1428.7660,50.6850,32.4020,152.8870,310.3940,1148.0540,99.8730,1258.8460,1428.7660,A,46.5900
002086,20211231,2021,INDL,C,D,STD,BAX,USD,8872.0000,33521.0000,9077.0000,501.6150,547.0000,2102.0000,4236.0000,24400.0000,1284.0000,12784.0000,9077.0000,A,85.8400
002101,20210630,2021,INDL,C,D,STD,AIT,USD,1196.5750,2271.8070,932.5460,38.5160,50.9920,260.1450,427.7000,1339.2610,144.7570,3235.9190,932.5460,A,102.7000
002111,20210930,2021,INDL,C,D,STD,BDX,USD,8838.0000,53866.0000,23675.0000,284.4760,1048.0000,3420.0000,6626.0000,30189.0000,2092.0000,20248.0000,23677.0000,A,251.4800
002136,20211231,2021,INDL,C,D,STD,VZ,USD,36728.0000,366596.0000,81790.0000,4197.7990,10532.0000,31742.0000,47160.0000,283396.0000,22065.0000,133613.0000,81790.0000,A,51.9600
002184,20210131,2020,INDL,C,D,STD,BBY,USD,12540.0000,19067.0000,4587.0000,257.0000,580.0000,2606.0000,10521.0000,14480.0000,1798.0000,47262.0000,4587.0000,A,99.7900
002259,20211231,2021,INDL,C,D,STD,BKH,USD,808.1330,9131.8960,2787.0940,64.7390,145.0230,409.4290,901.7130,6244.7730,236.7440,1949.1020,2787.0940,A,70.5700
002269,20210430,2020,INDL,C,D,STD,HRB,USD,1699.7240,3653.6460,352.4010,181.4660,195.0680,769.6270,1163.0790,3301.2450,583.7910,3413.9870,352.4010,A,15.8600
002285,20211231,2021,INDL,C,D,STD,BA,USD,108666.0000,138552.0000,-14999.0000,588.9170,0.0000,-1016.0000,81992.0000,153398.0000,-4202.0000,62272.0000,-14999.0000,A,201.3200
002312,20211231,2021,INDL,C,D,STD,RHI,USD,2268.5470,2952.3590,1381.0510,110.6860,170.6790,742.5050,1358.6730,1571.3080,598.6260,6461.4440,1381.0510,A,111.5200
002352,20210731,2021,INDL,C,D,STD,BRC,USD,465.1040,1377.7560,963.0280,52.0670,45.7460,170.2910,257.5840,414.7280,129.6590,1144.6980,963.0280,A,53.9000
002403,20211231,2021,INDL,C,D,STD,BMY,USD,33262.0000,109314.0000,35946.0000,2176.0000,4455.0000,8825.0000,21868.0000,73308.0000,6994.0000,46385.0000,35946.0000,A,62.3500
002436,20210131,2020,INDL,C,D,STD,CAL,USD,782.5560,1867.0500,200.2470,37.9660,10.7640,-65.0410,905.5090,1663.1960,-439.1140,2117.0700,200.2470,A,15.6500
002444,20211231,2021,INDL,C,D,STD,BC,USD,2124.6000,5425.0000,1914.2000,76.9330,98.9000,838.0000,1442.2000,3510.8000,593.3000,5846.2000,1914.2000,A,100.7300
002448,20211231,2021,INDL,C,D,STD,MTRN,USD,627.2520,1607.4790,720.4400,20.4480,9.6970,104.2370,204.5090,887.0390,72.4740,1510.6440,720.4400,A,91.9400
002497,20211231,2021,INDL,C,D,STD,MTZ,USD,2873.9540,7121.3930,2539.8090,76.4290,0.0000,419.8500,1784.5980,4577.5320,328.8310,7951.7810,2539.8090,A,92.2800
002504,20211231,2021,INDL,C,D,STD,UIS,USD,1133.0000,2419.5000,-113.7000,67.2000,0.0000,175.6000,752.5000,2483.9000,-448.5000,2054.4000,-113.7000,A,20.5700
002547,20211231,2021,INDL,C,D,STD,CI,USD,36134.0000,154889.0000,47112.0000,322.9480,1347.0000,8441.0000,43572.0000,107705.0000,5365.0000,174274.0000,47112.0000,A,229.6300
